id,nom,supertype,rarity,set_name,set_annee,numero,hp,artist,subtypes,types,prix_market,prix_mid,type_prix
hgss4-1,Aggron,Pokémon,Rare Holo,HS—Triumphant,2010,1,140,Kagemaru Himeno,Stage 2,Metal,7.75,9.99,holofoil
xy5-1,Weedle,Pokémon,Common,Primal Clash,2015,1,50,Midori Harada,Basic,Grass,0.12,0.2,normal
pl1-1,Ampharos,Pokémon,Rare Holo,Platinum,2009,1,130,Atsuko Nishida,Stage 2,Lightning,29.34,30.53,holofoil
dp3-1,Ampharos,Pokémon,Rare Holo,Secret Wonders,2007,1,130,Kouki Saitou,Stage 2,Lightning,37.12,38.24,holofoil
det1-1,Bulbasaur,Pokémon,Common,Detective Pikachu,2019,1,60,MPC Film,Basic,Grass,0.73,0.77,holofoil
dv1-1,Dratini,Pokémon,Rare Holo,Dragon Vault,2012,1,40,Masakazu Fukuda,Basic,Dragon,3.24,3.0,holofoil
mcd19-1,Caterpie,Pokémon,,McDonald's Collection 2019,2019,1,50,Sekio,Basic,Grass,11.3,13.0,holofoil
pl3-1,Absol G,Pokémon,Rare Holo,Supreme Victors,2009,1,70,Yusuke Ishikawa,"Basic, SP",Darkness,18.57,38.15,holofoil
ex12-1,Aerodactyl,Pokémon,Rare Holo,Legend Maker,2006,1,70,Hajime Kusajima,Stage 1,Colorless,77.33,76.19,holofoil
ex3-1,Absol,Pokémon,Rare Holo,Dragon,2003,1,70,Naoyo Kimura,Basic,Darkness,153.87,207.92,holofoil
ru1-1,Venusaur,Pokémon,,Pokémon Rumble,2009,1,140,Pokemon Rumble,Stage 2,Grass,264.96,279.96,holofoil
ecard2-H1,Ampharos,Pokémon,Rare Holo,Aquapolis,2003,H1,100,Shin-ichi Yoshida,Stage 2,Lightning,,,
base4-1,Alakazam,Pokémon,Rare Holo,Base Set 2,2000,1,80,Ken Sugimori,Stage 2,Psychic,55.96,54.35,holofoil
hgss1-1,Arcanine,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,1,110,Naoki Saito,Stage 1,Fire,52.14,53.07,holofoil
ex11-1,Beedrill δ,Pokémon,Rare Holo,Delta Species,2005,1,90,Masakazu Fukuda,Stage 2,"Grass, Metal",41.07,57.5,holofoil
ex7-1,Azumarill,Pokémon,Rare Holo,Team Rocket Returns,2004,1,80,Sumiyoshi Kizuki,Stage 1,Water,6.4,5.55,normal
gym1-1,Blaine's Moltres,Pokémon,Rare Holo,Gym Heroes,2000,1,90,Ken Sugimori,Basic,Fire,,,
base3-1,Aerodactyl,Pokémon,Rare Holo,Fossil,1999,1,60,Kagemaru Himeno,Stage 1,Fighting,,,
sm9-1,Celebi & Venusaur-GX,Pokémon,Rare Holo GX,Team Up,2019,1,270,Mitsuhiro Arita,"Basic, TAG TEAM, GX",Grass,41.93,46.5,holofoil
xy2-1,Caterpie,Pokémon,Common,Flashfire,2014,1,40,Sumiyoshi Kizuki,Basic,Grass,0.2,0.25,normal
pop6-1,Bastiodon,Pokémon,Rare,POP Series 6,2007,1,130,Kazuyuki Kano,Stage 2,Metal,2.38,4.49,normal
ecard2-H2,Arcanine,Pokémon,Rare Holo,Aquapolis,2003,H2,90,Kyoko Umemoto,Stage 1,Fire,,,
hgss4-2,Altaria,Pokémon,Rare Holo,HS—Triumphant,2010,2,90,Ryo Ueda,Stage 1,Colorless,8.62,13.39,holofoil
pl1-2,Blastoise,Pokémon,Rare Holo,Platinum,2009,2,130,Kagemaru Himeno,Stage 2,Water,36.3,43.99,holofoil
ex3-2,Altaria,Pokémon,Rare Holo,Dragon,2003,2,80,Atsuko Nishida,Stage 1,Colorless,56.4,55.0,holofoil
dp3-2,Blastoise,Pokémon,Rare Holo,Secret Wonders,2007,2,120,Daisuke Ito,Stage 2,Water,92.47,75.49,holofoil
base3-2,Articuno,Pokémon,Rare Holo,Fossil,1999,2,70,Mitsuhiro Arita,Basic,Water,,,
pl3-2,Blaziken FB,Pokémon,Rare Holo,Supreme Victors,2009,2,80,Motofumi Fujiwara,"Basic, SP",Fire,21.87,37.28,holofoil
ex11-2,Crobat δ,Pokémon,Rare Holo,Delta Species,2005,2,90,Ryo Ueda,Stage 2,"Grass, Metal",17.84,16.22,holofoil
pop6-2,Lucario,Pokémon,Rare,POP Series 6,2007,2,90,Kouki Saitou,Stage 1,Fighting,27.03,37.99,normal
xy2-2,Metapod,Pokémon,Uncommon,Flashfire,2014,2,70,kawayoo,Stage 1,Grass,0.23,0.25,normal
base4-2,Blastoise,Pokémon,Rare Holo,Base Set 2,2000,2,100,Ken Sugimori,Stage 2,Water,105.11,200.0,holofoil
gym1-2,Brock's Rhydon,Pokémon,Rare Holo,Gym Heroes,2000,2,80,Ken Sugimori,Stage 1,Fighting,,,
hgss1-2,Azumarill,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,2,90,Kouki Saitou,Stage 1,Water,7.36,9.15,holofoil
det1-2,Ludicolo,Pokémon,Rare,Detective Pikachu,2019,2,140,Framestore,Stage 2,Grass,0.98,0.9,holofoil
sm9-2,Weedle,Pokémon,Common,Team Up,2019,2,40,Shibuzoh.,Basic,Grass,0.35,0.3,normal
ex12-2,Aggron,Pokémon,Rare Holo,Legend Maker,2006,2,110,Hisao Nakamura,Stage 2,Metal,22.75,16.15,holofoil
ex7-2,Dark Ampharos,Pokémon,Rare Holo,Team Rocket Returns,2004,2,120,Emi Miwa,Stage 2,"Lightning, Darkness",83.81,149.98,holofoil
ru1-2,Cherrim,Pokémon,,Pokémon Rumble,2009,2,80,Pokemon Rumble,Stage 1,Grass,52.41,89.98,normal
mcd19-2,Alolan Exeggutor,Pokémon,,McDonald's Collection 2019,2019,2,160,Satoshi Shirai,Stage 1,Grass,6.71,6.93,holofoil
xy5-2,Kakuna,Pokémon,Uncommon,Primal Clash,2015,2,80,Kagemaru Himeno,Stage 1,Grass,0.17,0.22,normal
xy11-1,Tangela,Pokémon,Common,Steam Siege,2016,1,80,OOYAMA,Basic,Grass,0.17,0.2,normal
ex14-1,Banette,Pokémon,Rare Holo,Crystal Guardians,2006,1,70,Kyoko Umemoto,Stage 1,Psychic,8.45,11.24,holofoil
sm12-1,Venusaur & Snivy-GX,Pokémon,Rare Holo GX,Cosmic Eclipse,2019,1,270,Mitsuhiro Arita,"Basic, TAG TEAM, GX",Grass,21.84,25.02,holofoil
bw1-1,Snivy,Pokémon,Common,Black & White,2011,1,60,Kagemaru Himeno,Basic,Grass,0.33,0.31,normal
sm115-1,Caterpie,Pokémon,Common,Hidden Fates,2019,1,60,tetsuya koizumi,Basic,Grass,0.14,0.17,normal
si1-1,Mew,Pokémon,,Southern Islands,2001,1,30,Keiko Fukuyama,Basic,Psychic,355.68,459.6,reverseHolofoil
dp1-1,Dialga,Pokémon,Rare Holo,Diamond & Pearl,2007,1,90,Nakaoka,Basic,Metal,37.85,39.77,holofoil
sm3-1,Caterpie,Pokémon,Common,Burning Shadows,2017,1,50,Sekio,Basic,Grass,0.14,0.2,normal
pop7-1,Ampharos,Pokémon,Rare,POP Series 7,2008,1,130,Kouki Saitou,Stage 2,Lightning,9.76,13.78,normal
gym2-1,Blaine's Arcanine,Pokémon,Rare Holo,Gym Challenge,2000,1,90,Ken Sugimori,Stage 1,Fire,,,
col1-1,Clefable,Pokémon,Rare Holo,Call of Legends,2011,1,80,sui,Stage 1,Colorless,9.87,10.99,holofoil
ex9-1,Blaziken,Pokémon,Rare Holo,Emerald,2005,1,110,Midori Harada,Stage 2,Fire,25.64,54.0,normal
bw10-1,Surskit,Pokémon,Common,Plasma Blast,2013,1,50,Naoyo Kimura,Basic,Grass,0.17,0.24,normal
swsh35-1,Venusaur V,Pokémon,Rare Holo V,Champion's Path,2020,1,220,PLANETA Mochizuki,"Basic, V",Grass,2.24,2.53,holofoil
xy7-1,Oddish,Pokémon,Common,Ancient Origins,2015,1,50,MAHOU,Basic,Grass,0.21,0.25,normal
sm1-1,Caterpie,Pokémon,Common,Sun & Moon,2017,1,50,Kanako Eo,Basic,Grass,0.11,0.19,normal
ex13-1,Armaldo δ,Pokémon,Rare Holo,Holon Phantoms,2006,1,110,Masakazu Fukuda,Stage 2,"Fighting, Metal",31.41,129.98,holofoil
dv1-2,Dratini,Pokémon,Rare Holo,Dragon Vault,2012,2,40,Naoki Saito,Basic,Dragon,10.22,12.99,holofoil
ecard2-H3,Ariados,Pokémon,Rare Holo,Aquapolis,2003,H3,70,Shin-ichi Yoshida,Stage 1,Grass,,,
sm12-2,Oddish,Pokémon,Common,Cosmic Eclipse,2019,2,60,Yumi,Basic,Grass,0.22,0.24,normal
ex9-2,Deoxys,Pokémon,Rare Holo,Emerald,2005,2,70,Hironobu Yoshida,Basic,Psychic,92.33,34.99,normal
bw1-2,Snivy,Pokémon,Common,Black & White,2011,2,60,5ban Graphics,Basic,Grass,0.39,0.37,normal
base4-3,Chansey,Pokémon,Rare Holo,Base Set 2,2000,3,120,Ken Sugimori,Basic,Colorless,19.94,20.0,holofoil
ru1-3,Ninetales,Pokémon,,Pokémon Rumble,2009,3,90,Pokemon Rumble,Stage 1,Fire,249.99,373.31,normal
xy5-3,Beedrill,Pokémon,Rare,Primal Clash,2015,3,120,Kouki Saitou,Stage 2,Grass,0.33,0.37,normal
pop6-3,Manaphy,Pokémon,Rare,POP Series 6,2007,3,70,Atsuko Nishida,Basic,Water,3.48,6.0,normal
si1-2,Pidgeot,Pokémon,,Southern Islands,2001,2,70,Keiko Fukuyama,Stage 2,Colorless,35.61,40.0,normal
ex11-3,Dragonite δ,Pokémon,Rare Holo,Delta Species,2005,3,100,Ryo Ueda,Stage 2,"Lightning, Metal",159.24,226.3,holofoil
pl3-3,Drifblim FB,Pokémon,Rare Holo,Supreme Victors,2009,3,80,Lee HyunJung,"Basic, SP",Psychic,7.2,7.3,holofoil
base3-3,Ditto,Pokémon,Rare Holo,Fossil,1999,3,50,Keiji Kinebuchi,Basic,Colorless,,,
hgss1-3,Clefable,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,3,80,Masakazu Fukuda,Stage 1,Colorless,8.13,7.93,holofoil
ex13-2,Cradily δ,Pokémon,Rare Holo,Holon Phantoms,2006,2,100,Kouki Saitou,Stage 2,"Darkness, Metal",21.3,45.0,holofoil
hgss4-3,Celebi,Pokémon,Rare Holo,HS—Triumphant,2010,3,70,Shin Nagasawa,Basic,Psychic,12.78,24.53,holofoil
xy7-2,Gloom,Pokémon,Uncommon,Ancient Origins,2015,2,80,Masakazu Fukuda,Stage 1,Grass,0.27,0.25,normal
